ID_Empresa;RazaoSocial;Total;
454;Technip Brasil - Eng., Inste ApoioNormand Progress;127;
120;Tecnologia em Cabos de Aço Brascabo Ltda;520;
558;Tecnologia Total em Empreendimentos Ltda.;10;
113;Termomacae  Ltda;819;
47;Tetra Technologies do Brasil Ltda;1005;
593;Tetra Technologies do Brasil Ltda - NS15;2;
585;Tetra Technologies do Brasil Ltda - NS18;1;
616;Tetra Technologies do Brasil Ltda - NS23;1;
586;Tetra Technologies do Brasil Ltda - NS32;2;
579;Tetra Technologies do Brasil Ltda - P-16;1;
603;Tetra Technologies do Brasil Ltda - P-23;2;
632;Tetra Technologies do Brasil Ltda - Planta Fluidos;3;
369;Tetra Technologies do Brasil Ltda - Porto Niteroi;19;
580;Tetra Technologies do Brasil Ltda - PPG-1;1;
587;Tetra Technologies do Brasil Ltda - PVM-2;1;
604;Tetra Technologies do Brasil Ltda - SS-20;1;
617;Tetra Technologies do Brasil Ltda - SS37;1;
605;Tetra Technologies do Brasil Ltda - SS-39;2;
618;Tetra Technologies do Brasil Ltda - SS47;2;
594;Tetra Technologies do Brasil Ltda - SS-49;5;
619;Tetra Technologies do Brasil Ltda - SS50;2;
576;Tetra Technologies do Brasil Ltda - SS-54;3;
620;Tetra Technologies do Brasil Ltda - SS57;2;
621;Tetra Technologies do Brasil Ltda - SS60;1;
595;Tetra Technologies do Brasil Ltda - SS-61;1;
588;Tetra Technologies do Brasil Ltda - SS-62;3;
624;Tetra Technologies do Brasil Ltda - SS-63;1;
606;Tetra Technologies do Brasil Ltda - SS-64;3;
614;Tetra Technologies do Brasil Ltda - SS-65;5;
625;Tetra Technologies do Brasil Ltda - SS-68;1;
589;Tetra Technologies do Brasil Ltda - SS-69;4;
607;Tetra Technologies do Brasil Ltda - SS-70;2;
626;Tetra Technologies do Brasil Ltda - SS-77;1;
599;Tetra Technologies do Brasil Ltda - SS-78;2;
638;Tetra Technologies do Brasil Ltda - SS-80;1;
62;THV Transportes Ltda;0;
132;Transmagno Transportes Rodoviarios Ltda;124;
90;Transocean Brasil Ltda;1558;
527;Transocean Brasil Ltda  Arctic 1;165;
145;Transocean Brasil Ltda - Base;742;
598;Transocean Brasil Ltda - Centro de Treinamento;1;
528;Transocean Brasil Ltda - Deep Water Discovery;762;
498;Transocean Brasil Ltda - Discovery;2;
628;Transocean Brasil Ltda - Falcon 100;31;
