ID_Empresa;RazaoSocial;CNPJ
247;"Pq. Material BÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±lico (* Enco";NULL
444;"PREFEITURA DE MACAÃ?";251154740001-60
2;"Prestadora de Serviços Irmaos Ribeiro Lt";NULL
549;"Pride do Brasil LTDA.";NULL
469;"Pride do Brasil Serv. de Petr. Ltda - PORTLAND";04336088000178
399;"Pride do Brasil Serv. Petroeo Ltda - SS48";04336088000178
368;"Pride do Brasil Serv. Petroleo Ltda";04336088000178
433;"Pride do Brasil Serv. Petroleo Ltda - Ang dos Rei";04336088000178
21;"Pride do Brasil Serv. Petroleo Ltda - BASE";04336088000178
547;"Pride do Brasil Serv. Petroleo Ltda - Base CT";NULL
451;"Pride do Brasil Serv. Petroleo Ltda - Base Varco";04336088000178
556;"Pride do Brasil Serv. Petroleo Ltda - DS04";04336088000178
274;"Pride do Brasil Serv. Petroleo Ltda - PPL SS-61";04336088000178
474;"Pride do Brasil Serv. Petroleo Ltda - PSE";NULL
164;"Pride do Brasil Serv. Petroleo Ltda - SS 47";NULL
174;"Pride do Brasil Serv. Petroleo Ltda - SS 56";NULL
163;"Pride do Brasil Serv. Petroleo Ltda - SS 57";NULL
422;"Pride do Brasil Serv. Petroleo Ltda - SS 66";04336088000178
372;"Pride do Brasil Serv. Petroleo Ltda - SS47 AR";NULL
508;"Pride do Brasil Serv. Petroleo Ltda - SS55";04336088000178
397;"Pride do Brasil Serv. Petroleo Ltda - SS60";04336088000178
543;"Pride do Brasil Serv. Petroleo Ltda - SS61";04336088000178
514;"Pride do Brasil Serv. Petroleo Ltda - Venezuela";04336088000178
378;"Pride do Brasil Serv. Petroleo Ltda SS60 Arra";04336088000178
406;"Puras Do Brasil Sociedade Anonima";87001335065310
407;"Puras Do Brasil Sociedade Anonima -  Flotel";87001335065310
22;"Q & B Serviços Ltda";NULL
93;"Queiroz Galvao oleo e Gas S.A";30521090001107
455;"Queiroz Galvao oleo e Gas S.A   SS20 Olinda Star";30521090000631
488;"Queiroz Galvao oleo e Gas S.A  SS73 GOLD STAR";30521090000631
161;"Queiroz Galvao oleo e Gas S.A - SS 39";NULL
160;"Queiroz Galvao oleo e Gas S.A Base";30521090000631
535;"Queiroz Galvao oleo e Gas S.A Base Macaé";30521090000631
531;"Queiroz Galvao oleo e Gas S.A BASE MCE";30521090000631
534;"Queiroz Galvao oleo e Gas S.A Base Rio das Ostras";30521090000631
162;"Queiroz Galvao oleo e Gas S.A SS 45";NULL
529;"Queiroz Galvao oleo e Gas S.A SS-79 Lonestar";30521090000631
551;"Queiroz Galvao oleo e Gas S.A SS-83 ALPHA STAR";30521090000631
460;"R.P.Filho Serviços Hidraulicos LTDA";NULL
633;"Recigases Ambiental de Refrigeração Ltda";xxxxxxxxxxxxxxx
492;"Recuperadora de Tamb. Penafiel - 4º Via Entregue";NULL
68;"Recuperadora de Tamb. Penafiel Ltda";NULL
414;"Refrigeraçao Sudeste Ltda";NULL
108;"Remac Retifica Macae Ltda";NULL
291;"Remaq Industria Comercio e Representações LTDA";28949428000102
548;"Resipetrol LTDA.";NULL
630;"Rodoviario Costa Pozelli LTDA";NULL
631;"RRC Robotica Submarina S.A.";NULL
59;"S/A Paulista de Const. e Comercio";NULL
65;"SÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â¿tio Ilhota";NULL
403;"San Antonio Internacional Do Brasil Serv.Pet. LTDA";15676893000329
112;"Santmac Manutençoes Tecnicas - Tecm";01183676000120
24;"SBM do Brasil Ltda";01662868000110
235;"SBM do Brasil Ltda - Espadarte";NULL
26;"SBM Operaçoes S/C Ltda";04808261000193
25;"SBM Serviços Ltda";05009889000191
27;"Schahin Engenharia Ltda";61226890000904
608;"Schahin Engenharia Ltda - Cerrado";61226890000904
212;"Schahin Engenharia Ltda - Marfood";NULL
211;"Schahin Engenharia Ltda - NS09 Sclancer";NULL
532;"Schahin Engenharia Ltda - Pantanal";NULL
583;"Schahin Engenharia Ltda - Vitoria";61226890000904
554;"Schahin Engenharia Ltda. - Amazonia";61226890000904
627;"Schahin Engenharia Ltda. - Sertão";61226890000904
383;"Schlumberger S. Petroleo LTDA";NULL
384;"Schlumberger S. Petroleo LTDA- Base Teleporto";NULL
284;"Schulumberger Serv. de Pet. Ltda - A.L.";32319931000909
279;"Schulumberger Serv. de Pet. Ltda - D&M";32319931001468
216;"Schulumberger Serv. de Pet. Ltda - W & T";32319931000909
244;"Schulumberger Serv. de Pet. Ltda - W.S";32319931001620
447;"Seadrill Serviços de Petroleo LTDA";xxxxxxxxxxxxxxx
448;"Seadrill Seviços de Petroleo LTDA   SS68";
271;"Sealion do Brasil Navegaçao Ltda";02873558000107
408;"Sealion do Brasil Navegaçao Ltda  Sealion Amazonia";02873558000107
416;"Sealion do Brasil Navegaçao Ltda  Toisa Conquero";02873558000107
417;"Sealion do Brasil Navegaçao Ltda  Toisa Tiger";02873558000107
418;"Sealion do Brasil Navegaçao Ltda  Toisa Voyager";02873558000107
410;"Sealion do Brasil Navegaçao Ltda - Toisa Sentine";02873558000107
409;"Sealion do Brasil Navegaçao Ltda - Toisa Voyager";02873558000107
70;"Serviços em Containeres Contil Ltda";04479741000310
126;"Sistac Sistema de Acesso Ltda";NULL
46;"Sparrows BSM Engenharia Ltda";05203882000106
28;"Stolt Offshore S/A - Base";NULL
165;"Stolt Offshore S/A - Seco";NULL
166;"Stolt Offshore S/A - Seha";NULL
276;"Subsea 7 do Brasil Serv. Ltda - S. Amazonia";NULL
283;"Subsea7 do Brasil Serv. Ltda";049543510006-05
72;"Subsea7 do Brasil Serv. Ltda - BASE";04.954.351/0006
561;"Subsea7 do Brasil Serv. Ltda - Base RO";04954351000273
204;"Subsea7 do Brasil Serv. Ltda - K 2000";04.954.351/0006
203;"Subsea7 do Brasil Serv. Ltda - K 3000";04.954.351/0006
202;"Subsea7 do Brasil Serv. Ltda - Lochnagar";04.954.351/0006
497;"Subsea7 do Brasil Serv. Ltda - Lote Lagomar";04954351000273
435;"Subsea7 do Brasil Serv. Ltda - Normand Seven";04.954.351/0006
353;"Subsea7 do Brasil Serv. Ltda - RSV SALGUEIRO";04.954.351/0006
209;"Subsea7 do Brasil Serv. Ltda - SS 57 Pride Brazil";04.954.351/0006
210;"Subsea7 do Brasil Serv. Ltda -SS 55";NULL
602;"Suga Tudo Limpezas Industriais LTDA.";NULL
479;"Superior Energy Serv. de Petroleo do Brasil LTDA";08487503000145
584;"SUPLLY OIL E GAS LTDA";08175146000180
60;"Suzaquim Industrias Quimicas Ltda";NULL
207;"Tamco Lubrificantes Ltda";NULL
54;"Tasa Lubrificantes Ltda";NULL
471;"Tasa Lubrificantes Ltda - 4ºvia Entregue";NULL
